timestamp,evento,mac
2025-10-23 23:38:13.499410,Monitoramento interrompido manualmente.,276246685787227
2025-10-23 23:45:33.870942,Monitoramento interrompido manualmente.,276246685787227
2025-10-23 23:50:18.534043,Monitoramento interrompido manualmente.,276246685787227
2025-10-23 23:52:45.495424,Monitoramento interrompido manualmente.,276246685787227
2025-10-23 23:55:03.737081,Monitoramento interrompido manualmente.,276246685787227
2025-10-24 00:02:05.950676,Monitoramento interrompido manualmente.,276246685787227
2025-10-24 00:07:37.512376,Novo arquivo de dados criado: Dados.csv,276246685787227
2025-10-24 00:07:37.533042,Novo arquivo de dados criado: Processos.csv,276246685787227
2025-10-24 00:11:31.025547,Monitoramento interrompido manualmente.,276246685787227
2025-10-24 09:40:58.910331,Novo arquivo de dados criado: Dados.csv,276246685787227
2025-10-24 09:40:58.936203,Novo arquivo de dados criado: Processos.csv,276246685787227
2025-10-24 09:46:03.054025,Monitoramento interrompido manualmente.,276246685787227
2025-10-24 09:52:34.827787,Novo arquivo de dados criado: Dados.csv,276246685787227
2025-10-24 09:52:34.855274,Novo arquivo de dados criado: Processos.csv,276246685787227
2025-10-24 09:53:28.632410,Monitoramento interrompido manualmente.,276246685787227
